,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2,observed
129,129,1,10,4,5.04927750024842,1,-0.5604426500884274,0.801155508488499,0
130,130,1,6,3,5.786529006310447,0,0.2821561173122017,0.2232947318635954,0
131,131,1,2,2,1.7043442788204333,1,-0.3705301823986641,0.3617799098704619,0
132,132,1,0,1,-4.654311187935101,1,-1.7387205347975776,-1.0420010438381544,1
133,133,1,14,5,8.416203952598078,0,0.47870091954583843,0.2144024659521426,0
134,134,1,0,1,-1.5972956950981505,1,-1.4822037691621253,-0.19403925793541962,1
135,135,1,9,4,7.158027042261892,0,-0.7409608814636927,1.1772007023025635,0
136,136,1,5,3,4.788665466703565,0,-0.039793129936884365,-0.7148703094510273,0
137,137,1,4,2,0.2986216946494491,1,1.4025435923360245,-2.258920873463594,0
138,138,1,9,4,6.464077936446439,0,1.0944241093361808,-0.7388958616339896,0
139,139,1,0,1,-1.8277570671230026,0,-2.357049817026573,0.1556393238013873,1
140,140,1,7,4,5.389124522223187,1,-0.19384327875967114,0.17093929253353427,0
141,141,1,4,3,3.944187099072706,1,-0.17842963546143856,0.3113814897840402,1
142,142,1,3,3,2.1529905603775634,1,0.0606845401093283,-0.9149041812485058,1
143,143,1,6,4,5.576502136045968,0,-0.09044077657606228,-0.24588337525112483,0
144,144,1,0,1,-0.8885158647020198,1,0.6150312740791464,-2.4819706200306784,1
145,145,1,7,5,6.557824373314288,0,1.5259443107443729,-1.3461826435189916,0
146,146,1,6,5,4.424116782816603,0,-0.23587132201608849,-0.0164722140165418,0
147,147,1,8,6,7.374297523634723,0,0.4662459319345296,0.009336335995678662,0
148,148,1,13,7,7.934668242630318,1,1.0740706625604721,-0.13599136094686118,0
149,149,1,3,5,2.9938221477143396,0,-0.6057274612647359,-0.1450029132490437,1
150,150,1,6,6,4.2358132411511855,0,-0.19492182272990408,0.2702221412322924,0
151,151,1,6,6,2.6003610154007233,1,0.4330187673956795,-0.988257091701828,0
152,152,1,6,6,2.1223824824047197,1,0.17675198132620445,-1.1665343060289317,0
153,153,1,4,6,1.7587853375795681,1,0.15802996427646768,-1.2236811606680182,0
154,154,1,4,6,2.438517181112528,1,-0.621628740683232,-0.05264594565050478,0
155,155,1,10,7,9.433874265049676,1,1.1352327656348522,0.6103377738723238,0
156,156,1,13,7,9.361042310322695,0,0.9536069685382281,0.5919161302571302,0
157,157,1,1,2,0.8369107224236596,1,-1.2230360020468156,0.17210969387759764,1
158,158,1,5,5,4.763873090107126,1,0.16689401544358493,0.5159070963536205,1
159,159,1,8,6,7.822709113582054,1,1.0652573182954261,-0.030807266057439456,0
160,160,1,9,6,8.402673729769706,1,0.5780687867031814,1.3820045840864672,0
161,161,1,9,5,8.567189233615476,1,0.37529972997916217,0.5976630377026764,0
162,162,1,7,4,6.19516522740703,1,0.14883193686395454,0.5797079077349523,0
163,163,1,6,3,4.991899917892076,0,-0.772990228780069,0.805099221386754,0
164,164,1,0,1,-1.3799435366519115,1,-0.5650063580507299,-1.1942487486704685,1
165,165,1,0,1,-1.4271348728787,1,-1.14608684843242,-0.4851509687623966,1
166,166,1,8,3,6.086675104853509,1,1.2421431037460433,-0.17430552201588503,0
167,167,1,11,4,8.775969418252984,0,0.5169620067848204,1.2973118611756467,0
168,168,1,4,2,0.6792445598841392,0,0.2119718640513281,-1.3641191533309667,0
169,169,1,4,2,0.9238392683989578,0,-0.9736505886251451,-0.2966798609122924,0
170,170,1,4,2,0.8260559440420887,1,0.2754176986859844,-1.3524530167647315,0
171,171,1,4,2,3.726444131649886,0,0.860590534808599,-1.502786600278918,0
172,172,1,8,3,6.653926949870888,1,-0.2568189572054387,1.1426516411508554,0
173,173,1,0,1,-0.5861576200354294,1,-0.32469756974720315,-1.1761702844177977,1
174,174,1,7,3,5.587001338416581,0,-1.0022913667316355,0.7830778377585884,0
175,175,1,0,1,-0.956400833698943,1,-0.7818728402244428,-0.6194777915816159,1
176,179,1,2,2,1.9420343452492057,1,-0.5136793335998016,0.13882974096211084,0
177,192,1,2,3,1.6364577732985108,0,-0.24040879819299174,-1.4382571043788661,0
178,193,1,4,4,3.3865640321989927,1,0.31797516590519903,-0.6279976149119953,1
179,194,1,5,4,4.653756132183109,1,-0.30462691486686383,0.1581843634673143,0
180,195,1,2,2,1.704841668677753,0,0.46694756990542363,-0.9245993359267146,0
181,196,1,2,2,1.2411071496421608,1,-0.4923217592654888,-0.29222505069013927,0
182,197,1,8,4,5.148042070754827,1,0.7102093646030005,-0.6546823695975006,0
183,198,1,9,4,6.415531445527922,0,1.1749916627763666,-1.0377019744329004,0
184,199,1,10,4,8.203053017562231,1,1.1950079928261395,0.22594645705741162,0
185,200,1,0,1,-2.594991804001438,1,-0.3643901314462638,-1.3092841940220274,1
186,201,1,6,3,2.0322143697045414,1,-0.4378048783669114,0.0018361560822596913,0
187,202,1,0,1,-2.362914665219101,1,-0.4734580338334177,-1.323997818048495,1
188,203,1,3,2,1.6660622124528324,0,-1.3103201365775985,0.1229690689030862,0
189,204,1,5,3,4.019431069710733,0,-0.39099684261282325,0.21933374044487167,0
190,205,1,6,3,5.391955785072544,1,-0.34467333000089295,1.0757057095681652,0
191,206,1,6,3,4.673050615765556,1,-0.6653257360326437,0.43063608451831814,0
192,207,1,4,2,3.223343012959648,0,-0.7186368573010737,-0.12314482693223693,0
193,208,1,12,4,7.3240963865090425,1,0.024293735706664533,0.4947069499912205,0
194,209,1,0,1,-1.496840838789608,0,-1.5211836439752948,-0.5028107839801986,1
195,210,1,5,3,3.300511029131293,1,-1.0031889174804465,0.6711517484666191,0
196,211,1,4,3,2.566490491178391,1,-0.783651118150867,0.516248376264064,0
197,212,1,0,1,-2.141390460167711,1,-1.5589097276709485,-0.5220518890238622,1
198,213,1,7,4,6.453769348645146,0,-1.0578914341415286,1.9336009198626503,0
199,214,1,6,4,4.398327052485336,1,-1.5748013242409367,1.693849523524853,0
200,215,1,2,2,1.9404588767060087,1,0.22829760075940198,-0.6916299692585651,0
201,216,1,4,4,2.1724304670402987,1,-0.4824687773653522,-0.6545326881336289,0
202,217,1,8,5,6.845552927420388,1,1.0094459834453038,0.1703851565287861,0
203,218,1,11,8,9.54651848315761,0,1.576559403362684,-0.338643125319361,0
204,219,1,7,6,6.468436032056498,0,-0.40490475047137053,0.6988108771848249,1
205,220,1,7,7,6.492294056683518,0,0.7097771723653143,0.05423755473955882,1
206,221,1,11,11,10.00506302059054,1,1.14462571471666,0.3598750839748387,0
207,222,1,9,10,8.986682659311624,0,-0.42629958185305583,2.0319168532855447,1
208,223,1,4,7,3.1124606092473224,1,0.7264417187551381,-0.7734979277589676,1
209,224,1,0,1,-1.220270294434079,0,-0.9098421342088635,-1.0885038595738832,1
210,225,1,10,11,7.822525481328175,1,0.6143884970998091,0.4867874540747233,0
211,226,1,6,10,5.801508523101887,0,0.5989018829257471,-0.5098637089696145,1
212,227,1,4,9,3.889231389005416,1,-0.21263930272862297,0.485542856063634,1
213,230,1,2,8,1.9352974098246327,1,-0.7214663330796259,0.25314893459149007,1
214,231,1,11,13,10.962699699350631,0,0.527710636932499,1.5175748507141837,1
215,232,1,3,10,1.0742092769542084,0,-0.4286478503025494,-0.90317883660986,0
216,233,1,8,12,6.985477800226258,0,-0.13921386676847233,0.20359360516943176,0
217,234,1,5,11,4.602085663643134,0,1.3275525467294227,-1.4995959062266808,0
218,235,1,5,11,4.983974434761226,1,-0.04375926235773622,-0.32369878412318004,0
219,236,1,3,9,2.1693066581651888,0,0.09632701015175484,-0.38439181133221895,1
220,237,1,7,11,5.29646722186033,0,-0.27497024191432623,0.1841660894832487,0
221,238,1,12,13,10.743911306455612,1,1.1101013538653546,0.41402109233416395,0
222,239,1,11,12,9.218971568975023,0,0.6915916315794907,0.4039666259576771,0
223,240,1,13,13,12.614464538954639,1,1.7778844752289404,1.5204954069799692,0
224,241,1,8,10,7.626107090582912,1,-0.4161145062708278,0.9561378675829488,1
225,242,1,0,1,-2.2657761059779933,1,-1.7996626768010415,0.24276207829273277,1
226,243,1,6,6,5.465103886863576,1,0.42719182141481077,-0.3051064427371957,1
227,244,1,6,5,4.387250325788382,0,0.049509498252965266,-0.4748700879472723,0
228,245,1,10,7,8.434763860423478,0,0.7132259334390492,0.20629146716801147,0
229,246,1,9,6,8.5790178689407,0,1.2120207778115337,0.18150888178921332,1
230,247,1,0,1,-0.8205039335553819,1,-0.33728947271628285,-0.7292600034201833,1
231,248,1,0,1,-0.24352403737253847,0,-2.123162856495807,-0.07941250781629693,1
232,249,1,3,2,1.8150855281378446,0,-0.5826148540645536,-0.8271361560333591,0
233,250,1,6,4,4.89330272398427,1,1.8856156202594911,-1.14728279343168,0
234,251,1,5,4,4.2173036385194,0,0.9414266730466314,-1.0585677328793124,0
235,252,1,3,3,2.8273895191139875,0,-0.27432608070609704,-0.4247754418404873,1
236,253,1,3,3,2.150732585057357,0,-0.254391055896588,-0.16738456266277246,1
237,254,1,11,5,7.066581651353077,1,0.8338950735703702,-0.09966956910357495,0
238,255,1,10,5,7.661011322994314,1,0.351169410054148,1.145879537791825,0
239,256,1,5,4,4.461733427384528,1,0.5427674524230406,-0.43260717128019166,0
240,257,1,4,4,3.48831392931724,0,-0.07247348505503484,-0.6473978120073366,0
241,258,1,11,6,9.834975067317744,0,0.34186235864326703,1.2718272875643002,0
242,259,1,0,1,-0.43727198950362356,1,-1.0443306099237193,-0.17413062152893172,1
243,260,1,5,5,3.3263642747470286,0,0.1571374916410659,0.06390117784898365,0
244,261,1,4,5,2.6079254956423195,1,0.8398292920246125,-1.3321212637512472,0
245,262,1,1,2,0.03344314503965262,0,-1.9491036109960482,0.6855554048008836,1
246,263,1,12,7,8.424620460823117,1,0.9111376964195117,0.6848562742536339,0
247,264,1,12,7,8.133244121146674,1,1.2613969160234686,0.39100276970006254,0
248,265,1,12,7,7.676327659877388,1,0.38438487386950515,0.23222896422559372,0
249,266,1,5,5,4.710193367948494,0,0.7284149337372613,-0.1482427045074162,0
250,267,1,8,6,6.100659246728703,0,-0.9183640740316182,0.8971246092217238,0
251,268,1,8,6,4.0308273251352045,1,0.6999409356476609,-0.5160871650302722,0
