name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,age
198,1,1.0011216828983756,1,2,11,1,-1.1990082582284138
199,1,2.5706792564546235,1,6,7,0,-0.6846443188422424
200,1,2.975207720013533,1,3,10,0,0.038627960241582354
201,1,5.617507784453059,5,12,12,0,2.165532791338708
202,1,3.771193927685986,1,5,9,0,-0.688206666080377
203,1,2.2146790271354364,2,8,10,0,-0.648409221000056
204,1,3.477107349780762,3,7,10,0,0.10716614988924938
205,1,4.513807775194639,3,6,11,0,0.24628392129750684
206,1,3.1339042621955757,2,4,8,0,-0.42864954969246033
207,1,4.1236442619686695,1,6,9,0,-0.24775453795443775
208,1,2.931947364973237,1,3,9,0,0.38201503544057236
209,1,2.4428592328407737,2,3,10,1,0.27439237643247194
210,1,4.66112479968627,2,5,10,0,1.4097718965995711
211,1,3.454233337614351,3,7,9,0,1.8078522850923116
212,1,1.457724801831001,1,2,11,1,-1.2948499108311162
213,1,2.9886395713425227,2,3,8,1,-0.16869158841502352
214,1,2.1903470178782487,2,3,11,1,-0.6935160595044602
215,1,1.8573770156369775,1,3,14,0,0.4777613399790892
216,1,4.543750931617479,3,9,10,0,0.8180608354162687
217,1,2.7693232824067957,2,5,11,0,0.696188600161598
218,1,3.5174091043613647,3,5,8,0,2.1872709733650115
219,1,2.9730467424628406,2,3,10,1,-0.5331614670852974
220,1,5.089856737143764,4,6,12,0,1.3525055583139072
221,1,5.2931066554694794,0,7,8,0,1.7222709952784134
222,1,3.1435788759500367,1,6,11,0,0.7802923832659617
223,1,5.082439751812206,4,10,10,0,0.6510999169829482
224,1,7.196357717755922,7,8,12,1,3.0211492814583463
225,1,2.0789903947329833,1,6,10,0,-0.7335041377935564
226,1,1.9889261140613368,1,2,8,1,-2.0476232547584208
227,1,3.5909482864938007,1,6,9,0,0.2100952695916379
228,1,3.4076061254237566,3,5,8,0,-0.4079617727780141
229,1,1.8602241649683522,1,2,9,1,-1.092969090877278
230,1,3.983529581461892,1,8,9,0,0.8461338374147549
231,1,2.6162301581737957,1,5,9,0,-0.26341759071313653
232,1,3.583173708278992,2,6,11,0,-0.8192187489536019
233,1,2.03932866080737,2,3,11,1,-0.33968311718031724
