name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,gender,age,race
0,1,6.838845306357895,2,9,10,0,1,1.60180771899537,0
1,1,3.045353525779361,2,9,10,0,0,0.7532360671970094,1
2,1,5.471811738279075,4,7,10,0,1,0.852291099168958,1
3,1,4.773382122923085,4,9,10,0,0,1.6650033518996574,0
4,1,6.862713101654473,2,7,10,0,1,1.3871453603262596,1
5,1,-4.553079099969176,0,2,10,0,0,-3.005996665466758,0
6,1,2.1986193831635914,1,3,10,0,0,0.7323184950446704,0
7,1,1.4940749773737263,1,2,10,1,0,-0.42900887025294326,1
8,1,4.911593493661632,2,8,10,0,1,0.23182306433624583,1
9,1,7.534649123393038,4,10,10,0,1,0.8882614145187229,1
10,1,-1.0629282363496944,0,4,10,0,0,-0.9812733183096192,0
11,1,1.454956998880192,0,4,10,0,1,-1.673816090751966,1
12,1,4.315951289338932,3,9,10,0,1,0.4258842217188785,0
13,1,2.971004215571977,0,4,10,0,1,0.05127743703638143,0
14,1,3.6506462850526065,3,5,10,0,1,-0.4328311074791741,1
15,1,2.8096814393199185,0,10,10,0,0,0.3385254284407808,1
16,1,-1.7628361159171746,0,0,10,1,0,-1.5428848277192622,1
17,1,6.649500660022351,6,9,10,0,1,2.2208115486184017,1
18,1,3.096063204658744,2,4,10,0,1,-0.0417694532091377,0
19,1,0.7839320391816305,0,1,10,1,1,-1.2334687531575863,1
20,1,1.9764976664948177,0,5,10,0,0,0.37456836969091545,0
21,1,0.17149326199496007,0,2,10,0,0,-0.1901896118167742,1
22,1,0.8882262454658507,0,2,10,0,1,-1.1439495826255,1
23,1,0.9990364418283897,0,4,10,0,1,-1.0604003705408147,1
24,1,1.7432108829309314,1,9,10,0,1,-0.35488357270624926,0
25,1,3.6391137664223105,3,6,10,0,1,0.16461853776052396,0
26,1,1.415269205425474,0,7,10,0,0,-0.05690085973393818,0
27,1,6.731169370793914,6,7,10,1,0,1.2813643707673523,1
28,1,-0.6877071310094645,0,0,10,1,0,-0.6971220737025503,0
29,1,3.2929523663833864,2,9,10,0,1,0.7510168819129301,0
30,1,2.4997334982081014,0,8,10,0,0,0.17063819005780886,0
31,1,6.4944628978350885,5,9,10,0,1,2.4366826205450054,0
32,1,1.5359498772261249,0,2,10,0,0,0.23631828136547903,0
33,1,2.0657272796036623,1,5,10,0,1,0.14925818007103292,0
34,1,5.1124899636069205,3,7,10,0,1,0.8093697535340971,0
35,1,5.481934124950957,5,10,10,0,1,0.9450012805957568,0
36,1,3.604091520334572,3,5,10,0,1,0.5336485681540912,0
37,1,4.34141747297385,4,6,10,0,0,1.119874686595379,1
38,1,1.3455749967767727,0,5,10,0,0,0.20728123891813127,0
39,1,1.2837830767714022,0,3,10,0,1,-1.5412531695635605,0
40,1,4.198977280898539,3,6,10,0,1,0.2669329605428311,1
41,1,3.864007141042542,3,5,10,0,0,0.2764580189433167,1
42,1,0.42978213851924707,0,2,10,0,1,-1.0831574773888202,0
43,1,3.1169299393243417,0,4,10,0,1,0.5247977471989046,1
44,1,2.8105753690191526,2,9,10,0,1,-1.2395105926115724,1
45,1,3.0465665650942704,1,9,10,0,0,0.24285870401919787,1
46,1,-0.18288255397498876,0,1,10,1,1,-1.2804360574568152,1
47,1,4.8228316979698,0,7,10,0,0,2.354722675434408,0
48,1,4.429048501479556,4,7,10,0,1,-0.45314746587919247,1
49,1,5.417948222790184,2,6,10,0,1,0.25066964812436093,0
50,1,3.7906082984067844,0,4,10,0,1,1.2698860818741344,0
51,1,0.3509707956942274,0,2,10,0,0,-1.1746063755429201,0
52,1,2.469746273510152,1,3,10,0,0,0.9646480905688665,0
53,1,2.358829157386008,1,6,10,0,0,0.6582876254361871,1
54,1,1.2690251159499972,0,3,10,0,0,-0.1968674701239065,1
55,1,0.7722623347569322,0,2,10,0,0,-0.22101960587444938,1
56,1,1.7029845304113564,0,4,10,0,1,-1.2966474197959905,1
57,1,-0.6122583685139866,0,0,10,1,0,-1.0276170806475273,0
58,1,-0.8801373967617205,0,0,10,1,0,-0.9587799140197637,0
59,1,2.0030105609380096,2,4,10,0,0,0.6752006260981891,1
60,1,1.4688321144420446,0,9,10,0,1,-0.529305435124758,0
61,1,5.989045791961891,5,7,10,0,1,1.5959247425049803,0
62,1,5.013562948183685,1,8,10,0,0,1.7405835368572724,0
63,1,2.6194987310553186,0,8,10,0,1,-0.09885022605061805,0
64,1,1.4312821415645067,0,2,10,0,0,-0.34096687622762073,0
65,1,0.8377015367572223,0,1,10,1,0,0.635633328145301,0
66,1,1.9871093112843254,1,2,10,1,1,-0.24685044112815238,0
67,1,2.2057662273975867,1,5,10,0,1,0.46032923077898213,1
68,1,6.898253207649351,0,7,10,0,1,1.5274827341009363,0
69,1,2.0818346229395734,1,3,10,0,0,0.9773377500179681,0
70,1,0.45807837723694744,0,8,10,0,0,-1.0794284668014102,0
71,1,2.2566756808985993,0,7,10,0,1,-0.44774393893825726,1
72,1,1.0025717873252453,1,5,10,0,1,-0.9480892446496294,0
73,1,5.168688606893693,1,10,10,0,1,1.81434310979162,0
74,1,1.9277823447868738,0,2,10,0,0,0.0480013508718612,0
75,1,1.645621721799027,0,4,10,0,0,-0.9168755941482816,1
76,1,1.589356473396244,0,9,10,0,0,-0.4148670767272488,1
77,1,4.068768524504803,0,7,10,0,1,-0.1414150659498261,1
78,1,1.881641355413278,0,2,10,0,1,-1.235077427654639,1
79,1,0.6086699666159268,0,2,10,0,1,0.04966326164827513,0
80,1,0.018759837175174043,0,1,10,1,0,-1.5913546797595723,1
81,1,-3.1837031120281836,0,2,10,0,0,-1.7503835777441932,1
82,1,5.159061733384174,2,9,10,0,1,-0.4024754063819273,1
83,1,-0.6594640744552591,0,2,10,0,0,-0.683452236268111,0
84,1,3.240240398721133,2,4,10,0,1,-0.7203055700938024,0
85,1,5.6399986008531515,0,7,10,0,1,0.9626553576351476,0
86,1,3.84033395751971,0,4,10,0,0,1.272445687810764,1
87,1,0.7618768140892072,0,1,10,1,1,-0.8623493721130392,0
88,1,1.7971721667883407,0,5,10,0,0,0.13262694231856811,0
89,1,5.699155989489722,5,9,10,0,1,0.7557448956032093,0
90,1,4.5445036689406955,3,5,10,0,1,0.2983773507710714,1
91,1,-0.40585689541319603,0,2,10,0,0,-0.2932811028998577,1
92,1,3.5343568796595406,1,4,10,0,1,0.35449958838582796,1
93,1,-0.671691078939171,0,1,10,1,0,-1.4133181671573907,0
94,1,3.244419128630909,0,4,10,0,1,-0.22334148039134605,1
95,1,5.687558897555211,4,7,10,0,1,1.057476955448776,1
96,1,3.824417564107389,1,4,10,0,0,0.2252591852566049,0
97,1,0.48050062765381085,0,1,10,1,1,-1.1913504157436616,0
98,1,0.4701174867409139,0,1,10,1,0,-0.221042396207533,0
99,1,3.5771228445058534,3,7,10,0,0,0.4178562997878324,0
100,1,-0.21225286146832367,0,0,10,1,0,-0.509083157537672,1
101,1,8.133889212514013,8,10,10,0,1,1.4665120720413192,1
102,1,-1.0202396474209943,0,0,10,1,1,-1.0364022769296537,1
103,1,5.290070651271915,1,8,10,0,1,1.6586997763702072,0
104,1,2.0708063199441358,0,10,10,0,1,-0.7387429220767502,1
105,1,2.146503400918789,0,3,10,0,0,0.5459958956822023,0
106,1,2.7297189539647526,0,4,10,0,0,0.1779634635748972,0
107,1,4.168930357018237,1,7,10,0,0,1.7026054584669286,0
108,1,2.7993463289827583,2,3,10,1,1,-0.5190903054109521,0
109,1,6.177888999704369,5,10,10,0,1,1.4346566791456334,0
110,1,2.5485629053038013,0,6,10,0,0,0.38802266536130325,1
111,1,1.4455728128146423,0,4,10,0,0,0.46456931883987085,0
112,1,-2.3412418549991365,0,1,10,1,0,-1.805775927600966,1
113,1,1.0880427040550753,1,8,10,0,0,0.38986833870859633,1
114,1,1.97910975415934,0,2,10,0,0,0.17800578256089228,0
115,1,4.6317526400904265,4,8,10,0,0,1.780130276740934,0
116,1,6.238182311979831,5,9,10,0,1,0.582514655398667,1
117,1,4.080378353918464,4,5,10,1,1,0.20259034480938612,1
118,1,-0.03786546185895645,0,0,10,1,0,-0.12465263395489837,0
119,1,1.2029663121608132,1,2,10,1,1,-1.5628966503228157,0
120,1,0.9968179457907271,0,5,10,0,0,-1.5356840463848225,1
121,1,0.5120909623948169,0,5,10,0,1,-0.5041876139784047,0
122,1,1.399514420729781,0,2,10,0,0,0.9716863123117608,0
123,1,0.7961243045144131,0,2,10,0,0,0.04833722125627164,1
124,1,-2.825087006354206,0,1,10,1,0,-1.7665559908441997,0
125,1,0.8026997969582139,0,3,10,0,0,-1.0317495059898523,0
126,1,-0.6859988071709497,0,0,10,1,0,-1.3979609179118542,1
127,1,2.817979074268269,2,3,10,1,1,0.7530311330931144,0
128,1,-3.1240570241336716,0,0,10,1,0,-2.0572854816913178,1
129,1,-3.0984390950866922,0,0,10,1,0,-1.6181784251435316,0
130,1,1.9296616244588805,0,4,10,0,0,0.13929984821356875,1
131,1,7.73249800583672,5,8,10,0,1,1.7842249888836341,1
132,1,5.903615330516771,4,6,10,0,1,1.3891276247308704,0
133,1,-1.8277077590080575,0,3,10,0,0,-0.5148676945259815,0
134,1,4.24932676376894,4,10,10,0,1,0.5262158233833635,0
135,1,0.5973579882562426,0,3,10,0,0,0.2056010368589652,0
136,1,2.686540569840903,1,5,10,0,1,0.027484173351378524,0
137,1,3.6858902928954986,2,4,10,0,1,0.2787674228648886,0
138,1,0.8216143781244996,0,1,10,1,1,-0.3294286570413078,0
139,1,7.064178180060635,6,9,10,0,0,1.7700056976848493,1
140,1,3.1101734727963755,2,6,10,0,0,0.4376160506628403,1
141,1,-0.6595245415015869,0,1,10,1,0,-1.2290914888658175,1
142,1,0.6913870075935042,0,7,10,0,0,-1.0090671104634443,1
143,1,4.002311934317317,4,9,10,0,1,-1.0137979853058892,1
144,1,1.0780882823572833,0,2,10,0,1,-0.9865596067548759,0
145,1,-0.8500004295379675,0,1,10,1,0,-1.0821156975361943,1
146,1,5.447738740959969,5,6,10,1,0,1.1559541455314435,1
147,1,4.121274303062668,4,6,10,0,0,0.18803914788896509,1
148,1,4.027745239305931,2,6,10,0,1,0.4622776863483644,0
149,1,-2.4644369636671053,0,0,10,1,1,-2.2195961514823934,1
150,1,4.664855827249188,4,5,10,1,1,0.7323285226667787,0
151,1,1.2143592554812646,0,2,10,0,0,0.4801954389597166,0
152,1,0.7412313236605006,0,9,10,0,1,-0.4363117871743863,0
153,1,5.198021183901442,2,7,10,0,1,1.358457167016854,0
154,1,1.711775386828989,0,5,10,0,1,-0.1106482840017546,0
155,1,1.5032375112499552,1,2,10,1,1,-0.09844626126526947,1
156,1,3.0344033267811765,2,6,10,0,1,0.27669084868907556,0
157,1,-0.23166181371963468,0,0,10,1,0,-0.32881238525232703,0
158,1,2.681568573890303,0,3,10,0,0,0.7343017933760875,1
159,1,2.7948092465165955,1,6,10,0,0,0.784472406387087,0
160,1,3.319512951420573,2,5,10,0,0,1.553367653676733,0
161,1,2.2017798607881103,2,3,10,1,1,-0.7155464278014388,0
162,1,4.725516684561876,0,9,10,0,1,0.5228620057336487,1
163,1,-2.2057543182563646,0,3,10,0,0,-1.0067220746048853,0
164,1,3.152456793741636,0,6,10,0,1,-0.35628229298135144,1
165,1,4.374332283580147,1,6,10,0,0,1.4664590108660847,0
166,1,3.7981919146443293,0,7,10,0,0,1.5676615413820167,0
167,1,2.8005122732495566,2,5,10,0,1,-0.8522860702434149,1
168,1,1.485733629056651,0,2,10,0,0,0.047923368944679856,0
169,1,1.8084099174457455,1,10,10,0,0,0.9338989012336982,0
170,1,-3.261880053865939,0,1,10,1,0,-2.680112518478694,0
171,1,4.060097118723576,4,8,10,0,0,0.6383969498331428,1
172,1,2.2621282435838914,0,10,10,0,0,0.4184832932952453,1
173,1,3.7972694567745244,2,4,10,0,1,-0.21736615418630229,0
174,1,7.679636074217505,3,9,10,0,1,1.8451828495866618,1
175,1,6.158362612188106,4,7,10,0,0,2.251095338317785,1
176,1,-1.5063906711507817,0,4,10,0,0,-1.3113509110456987,0
177,1,2.432998003501922,0,6,10,0,1,-0.7843648163198322,1
178,1,0.20683782252758665,0,1,10,1,1,-1.715462483517188,1
179,1,-1.0127292947887936,0,2,10,0,0,-1.1550393267954882,1
180,1,1.7273032327395836,0,2,10,0,0,0.32049992845944725,0
181,1,0.7291704058909296,0,10,10,0,1,-0.4582372808999417,0
182,1,7.209078341866423,6,8,10,0,0,1.9861947883943996,1
183,1,2.5061130637311972,1,10,10,0,1,-0.4139285640285598,1
184,1,3.0900099232147875,0,6,10,0,0,1.1597440353219453,0
185,1,3.1254044949471043,3,7,10,0,0,-0.02888004963615032,1
186,1,1.129605885913835,1,6,10,0,0,-0.17951488698242607,0
187,1,-3.2337776470483615,0,9,10,0,0,-1.3620476618335051,0
188,1,5.464205194779791,4,10,10,0,1,0.849578851173869,0
189,1,0.7447419908126913,0,4,10,0,0,-0.1796643521667256,0
190,1,2.3096025918379537,2,5,10,0,0,0.5547223477822893,0
191,1,2.3947638533097426,0,3,10,0,0,0.3582631562025834,0
192,1,-1.0188219195862773,0,2,10,0,0,-0.6149220094890148,0
193,1,1.6169976414684124,1,5,10,0,1,-0.4705400478758215,0
194,1,4.4072863521308685,4,6,10,0,1,-0.19994857501183805,0
195,1,3.73051486958703,2,7,10,0,0,0.42932697171889084,0
196,1,-1.4848652849732527,0,4,10,0,0,-1.1116397230339892,1
197,1,3.0101473906363783,2,8,10,0,1,-0.13567504245807682,1
198,1,0.5227491803433504,0,1,10,1,0,-0.25603574345857033,0
199,1,1.4321642840430542,0,9,10,0,1,-0.9357739372035202,1
200,1,-0.49510995145939374,0,1,10,1,0,-0.6349810212081526,0
201,1,1.4359477876417244,1,2,10,1,0,-0.23213884645368527,0
202,1,0.8017517831080574,0,1,10,1,0,0.15503929180759127,0
203,1,-1.261463755368308,0,7,10,0,0,-0.26313416579562215,0
204,1,0.0025614366301570657,0,1,10,1,0,-0.617972945202753,0
205,1,3.3220800752152186,3,6,10,0,0,0.7097152216547702,0
206,1,6.540296530174128,2,8,10,0,1,1.406031454268229,1
207,1,2.5196059585768866,0,4,10,0,1,-0.030513573867569675,0
208,1,2.3789762102591165,0,3,10,0,1,0.5592677217993344,1
209,1,3.368382175211406,2,4,10,0,0,0.5003823305898678,0
210,1,5.964969794258167,4,6,10,0,1,0.9746060783728208,1
211,1,1.0726337246301918,0,2,10,0,0,-0.30078168027897956,0
212,1,1.4468476058812803,1,7,10,0,1,-0.5506561594722217,1
213,1,-2.211889946883348,0,0,10,1,1,-1.9066877460516904,0
214,1,0.21504740280680412,0,1,10,1,0,-0.3543609773189451,1
215,1,6.545918716404454,6,9,10,0,1,1.1227540061766599,0
216,1,0.8160062522444362,0,1,10,1,1,-0.6410112029459978,0
217,1,-0.47314554214851334,0,1,10,1,0,-0.5484487860419213,0
218,1,0.6324690659680325,0,7,10,0,0,0.0443670617747175,0
219,1,3.466120866696856,3,5,10,0,1,0.09936051157807334,1
220,1,-0.47831086207628015,0,3,10,0,0,-0.4015095930764914,0
221,1,0.5795689751661258,0,4,10,0,0,0.2607106461975981,0
222,1,0.6995159742404908,0,1,10,1,0,-0.3222900076115305,1
223,1,2.6039899720824256,0,5,10,0,0,0.7300043302893979,0
224,1,-2.157698929185751,0,2,10,0,0,-1.5111285391454963,0
225,1,0.4905311379821511,0,3,10,0,0,-0.6341660929701596,0
226,1,3.089537465145841,2,8,10,0,0,-0.27546249658765987,1
227,1,3.489939070634843,3,4,10,1,1,-0.06234716332826158,1
228,1,5.728604004512672,5,8,10,0,1,1.2752530236673905,0
229,1,0.042760680815153274,0,1,10,1,0,-0.8655050489011638,1
230,1,3.129881371896509,3,5,10,0,0,0.4066377880908057,1
231,1,0.15042573816142113,0,2,10,0,1,-1.01599852658276,1
232,1,3.7503433567918156,3,9,10,0,1,0.43996991902153193,1
233,1,5.058495637897854,2,8,10,0,1,0.10502850847340478,0
234,1,1.1496038544322429,1,2,10,1,0,-0.0008082423828170979,0
235,1,-1.206794638363938,0,4,10,0,0,-0.7985226367837324,0
236,1,5.166044788526139,0,6,10,0,0,2.1383810907411136,0
237,1,2.353072423181187,0,4,10,0,0,1.3210375909507484,0
238,1,-0.0017420827523588756,0,0,10,1,1,-0.8979104501942072,0
239,1,1.5716392574195952,0,4,10,0,1,-0.18831999108202607,1
240,1,0.8406316422770239,0,4,10,0,0,-0.3835118059182359,1
241,1,2.3042244468089104,2,9,10,0,1,-0.9143220332434726,1
242,1,-1.8519532897732907,0,4,10,0,0,-1.8897280256725661,1
243,1,4.504164489041405,3,6,10,0,1,0.451680065302361,1
244,1,4.293328895604631,1,9,10,0,0,1.5328587436055798,0
245,1,4.160875646516613,4,5,10,1,1,0.08382755512131876,1
246,1,0.9288520148607642,0,1,10,1,0,0.9266770855539244,0
247,1,0.3790671290294396,0,3,10,0,1,-1.9949904124682323,1
248,1,2.4051863533566826,1,10,10,0,0,1.0927791824373654,0
249,1,4.293949919124862,4,6,10,0,1,0.5910869620023288,1
250,1,1.037482306288565,1,2,10,1,0,-0.8515342988063901,1
251,1,3.7492910461960953,0,4,10,0,1,0.17271561297628227,1
252,1,-0.38343400948520845,0,0,10,1,0,-1.299451925698534,1
253,1,3.3853212392741807,3,10,10,0,1,0.46870278732623355,0
254,1,0.897044639147424,0,3,10,0,0,0.4221864634901507,1
255,1,2.5443527680851306,1,5,10,0,1,-0.22579348320882625,0
256,1,4.704591475088959,4,6,10,0,0,1.3067420483703294,0
257,1,6.270516075282491,2,8,10,0,1,1.5250852571625582,0
258,1,3.3004513025292623,0,4,10,0,0,1.3017969016597664,0
259,1,1.314257452755576,0,2,10,0,0,-0.23623913007255015,1
260,1,-0.4457375565658124,0,7,10,0,1,-1.7989305214107494,0
261,1,3.6275897550851353,0,10,10,0,0,1.114030040583668,0
262,1,5.34901437380581,2,7,10,0,1,1.4069104324083161,0
263,1,-1.1700176229367178,0,0,10,1,0,-1.0272283758311602,1
264,1,5.234660939498307,5,10,10,0,1,0.0020714934622880596,1
265,1,2.3962363439184857,0,5,10,0,0,0.13440661027639053,0
266,1,5.160094230969023,5,9,10,0,1,0.9578372395238247,0
267,1,-0.15498519957488588,0,0,10,1,1,-1.0983997577631313,0
268,1,5.246127128438693,1,8,10,0,1,1.0728256367704803,0
269,1,1.8782258579853182,0,4,10,0,0,-0.5357660100419072,1
270,1,3.76306270505267,1,6,10,0,1,0.2288712762489656,0
271,1,1.080647634291413,0,3,10,0,0,1.0640719017909632,0
272,1,7.259763199068433,7,10,10,0,1,2.08868568043672,0
273,1,0.8885939126782509,0,3,10,0,0,0.0032279612777008962,0
274,1,-0.6053524882977492,0,0,10,1,0,0.35726865157519266,0
275,1,4.537180760305564,3,5,10,0,1,-0.29132795282836793,1
276,1,1.092511184069684,0,5,10,0,0,0.44582626720761626,0
277,1,1.9228541433073798,0,2,10,0,0,0.2226831732034803,1
278,1,2.0999113914156986,2,3,10,1,0,0.872301069704212,1
279,1,1.3657112537671163,1,2,10,1,1,-1.8264010326989597,1
280,1,5.0440128957656984,5,6,10,1,1,-0.15172896964059196,1
281,1,-0.13703410798051596,0,0,10,1,0,-0.9329051702343922,1
282,1,4.80203052194015,4,6,10,0,1,0.3108874469096414,1
283,1,4.506036855321216,0,9,10,0,1,-0.7376646841640484,1
284,1,1.9141994233815178,0,2,10,0,0,-0.2221066881937242,1
285,1,4.460591771007642,4,7,10,0,0,0.3820464055598576,1
286,1,0.7774623846537789,0,1,10,1,0,-0.25222658461228414,0
287,1,1.6221753201579956,0,2,10,0,0,-0.31346974805009736,1
288,1,4.173690415839814,1,7,10,0,1,0.02087545870671545,1
289,1,-3.9192215464862734,0,3,10,0,0,-1.9161227871265916,0
290,1,4.32160426322845,4,9,10,0,0,0.949036661446445,1
291,1,0.08337727359022717,0,2,10,0,0,-0.1866439515513679,1
292,1,0.8068216646317832,0,1,10,1,0,-1.4807693113976435,1
293,1,6.7078090131715165,4,8,10,0,1,1.8753875829230853,0
294,1,2.1058125917298067,1,9,10,0,1,-0.5051328961179791,0
295,1,0.6554849661553865,0,2,10,0,0,0.5458369468549858,0
296,1,-2.9839754102663467,0,9,10,0,0,-2.1719235581651897,0
297,1,-1.4063544674504027,0,0,10,1,0,-1.161392679881324,0
298,1,-0.7050051490397,0,1,10,1,0,-1.4377126193949272,0
299,1,-0.01481899890774141,0,4,10,0,0,-0.6746988214231705,1
300,1,4.874466761757208,4,7,10,0,1,2.1716833389869814,0
301,1,2.2981425710369647,1,6,10,0,1,-0.5635083204745005,0
302,1,1.90517460662155,1,2,10,1,1,-0.04269051724065768,0
