,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2
148,856,1,0,,-1.3060330975677426,1,-0.8994850700120816,-0.6903478094784344
149,858,1,0,,-2.6007794051957323,1,-1.2783803284195427,-0.5303218438855483
150,860,1,0,,-0.596298107358451,1,-0.26531458552898085,-0.8433507638108211
151,870,1,0,,-0.3285575289631176,0,-1.370191808943255,-0.5422946131473292
152,874,1,0,,-1.9604587063691326,1,-1.013978854053959,-0.6731457634586412
153,877,1,0,,-2.572595278921181,1,-1.1535573097430167,-1.2019861308870854
154,884,1,0,,-3.4809193575510036,0,-2.144276673304934,-0.4136783834004147
155,891,1,0,,-0.885563246075063,1,-0.5866709718332407,-1.2661457997849064
156,908,1,0,,-0.9322116300925471,0,-1.8457807458555604,-0.2676393913467387
157,916,1,0,,-0.12286864078390791,1,-0.8992581794262525,-0.005484190596053943
158,919,1,0,,-2.614831721226021,1,-1.0539265573258283,-0.19160228257008702
159,921,1,0,,-9.010557468851994,1,-2.092426798587725,-1.841441254291305
160,929,1,0,,-0.35644928318232527,1,-1.0770469241306113,-0.644760553423357
161,948,1,0,,-1.0460115337769407,0,-1.2577389862008534,-0.36902389495191984
162,953,1,0,,-2.275998312706966,1,-1.0404647309588226,-0.9124445292346957
163,963,1,0,,-2.4068999105363176,0,-0.26126927267094774,-2.4965485543075223
164,983,1,0,,-6.367228112665282,0,-2.1425747170349623,-1.513956243463911
165,1006,1,0,,-2.343697831998551,1,-1.2442034183726849,-0.851120933643564
166,1008,1,0,,-4.572832009533281,1,-1.709851296784532,-1.005982265085061
167,1012,1,0,,-1.0375128932083566,1,-0.20261763050838114,-1.44752992226034
168,1023,1,0,,-3.1734794753643194,1,-0.7983874732275793,-1.4663571285909287
169,1039,1,0,,-1.8052453472846026,1,-0.8348069304779273,-1.0883874144583063
170,1041,1,0,,-7.348034964275812,1,-2.294435455823553,-1.5799814785019393
171,1043,1,0,,-0.8644013689857242,0,-0.159179160767324,-1.5702373229389288
172,1065,1,0,,-1.8833844505133723,1,-0.29414278722389625,-1.1237074793821076
173,1081,1,0,,-2.6363679677807523,1,-1.7338206076203044,-0.5018012884209903
174,1082,1,0,,-5.67246624383438,1,-1.9123380868141806,-1.2255632256808555
175,1106,1,0,,-0.09021419204412545,0,-1.4566256714954802,-0.36505361573017564
176,1118,1,0,,-0.2109930374405476,0,-0.9593308227838514,-0.6197367899365014
177,1123,1,0,,-0.22734949533226,1,-1.0608463700761062,-0.031010756404353808
178,1133,1,0,,-4.977362261387046,0,-1.4976800178789866,-1.435673003033694
179,1136,1,0,,-1.759103148882071,1,-1.120321721440995,-0.7513276201101439
180,1137,1,0,,-1.9213270515645078,1,-0.6826225870764387,-1.2044116232263928
181,1141,1,0,,-1.3178356673156366,1,-1.3693382522795816,0.355661674647145
182,1145,1,0,,-0.2250679176633899,1,-0.8362678875618534,-0.6764766182503752
183,1152,1,0,,-0.09037226891977168,1,-0.19252811846835027,-0.161147401657344
184,1167,1,0,,-2.425489690808151,1,-1.4514132923315548,-0.24175525070806048
185,1176,1,0,,-1.2395088355854778,0,-0.6168289154883734,-1.2637074521641112
186,1187,1,0,,-0.6151872909206626,1,-1.0392396156546828,-0.5849165048409017
187,1190,1,0,,-1.6092921077551419,1,-0.5472818765734809,-1.3538161571831748
188,1215,1,0,,-0.14122373098489582,0,0.23852253783504143,-1.4737679596972606
189,1216,1,0,,-2.332061387171161,0,-0.5624860271342146,-2.1174012621401412
190,1220,1,0,,-3.444693238515896,1,-1.7591564720379687,-0.17994138582425584
191,1226,1,0,,-4.959498835624629,0,-1.5866656867468876,-1.8698882221179138
192,1229,1,0,,-0.22908934677330528,1,-1.1261323865898016,-0.41531147808722413
193,1231,1,0,,-0.3292647595355166,0,-0.879187847069571,-1.158812661988405
194,1262,1,0,,-2.5490133206024246,1,-1.1385422450190794,-0.6669348509454962
195,1265,1,0,,-5.9507881997749585,1,-1.943515213925521,-1.058266497552911
196,1269,1,0,,-1.723259258619878,0,-1.3231268283549058,-0.4414572874278686
197,1276,1,0,,-0.5709858217166572,1,-0.012198605414165804,-1.017355317254752
198,1277,1,0,,-6.192663996530388,1,-0.9887575773069375,-1.8804062070654508
199,1280,1,0,,-1.6523951628841698,1,-0.29229715654755256,-1.7954464706138307
200,1290,1,0,,-0.19461255228506197,1,0.4449657893845064,-1.7875051960461006
201,1293,1,0,,-0.04795453848573006,1,-1.5603004892875456,-0.21341433176909172
202,1297,1,0,,-2.2188582544650943,0,-2.0931031152228488,0.16100151243557742
203,1299,1,0,,-6.759834658869278,0,-1.56343238506446,-2.2623633953910254
204,1308,1,0,,-2.9116204920846838,0,-2.573206298355589,-0.5270382012730381
205,1310,1,0,,-3.9274442042648237,1,-1.9817386444516607,-0.9014790451262498
206,1315,1,0,,-3.440834769155292,0,-0.9703199792825767,-1.4131951116178525
207,1316,1,0,,-0.7151470669622282,0,-0.4743601526039067,-1.1017514351552908
208,1319,1,0,,-3.5490443978071915,1,-1.4282567415661802,-1.2653843619349436
209,1322,1,0,,-5.112803747348527,1,-1.8339334937912457,-0.8763862952378242
210,1323,1,0,,-6.2896098508456,0,-3.011051930320935,0.06898354010257929
211,1337,1,0,,-1.9349810362319517,1,-0.7653349701401726,-1.2333594665804628
212,1339,1,0,,-1.021933261420112,1,-0.9276042900495025,-1.0345654226633647
213,1340,1,0,,-2.000394938450099,0,-0.8871425088433429,-1.0553178464097543
214,1343,1,0,,-1.2526602508326166,1,-2.3051136127116947,0.7280960213787688
215,1355,1,0,,-8.289423345714017,1,-2.218234652942883,-1.3052048386428996
216,1357,1,0,,-2.287980118902082,1,-0.5336441056409009,-1.035000600631576
217,1359,1,0,,-0.8804722225380075,1,-0.9993498680676798,-0.6313925385291792
218,1370,1,0,,-0.8664634474232684,0,-1.4275852919066248,-0.9317349806812655
219,1376,1,0,,-1.1302932862459654,0,-0.1689177905062004,-1.8891449565673923
220,1378,1,0,,-1.0762526693523553,1,-0.05510909822810666,-1.7498822711515505
221,1379,1,0,,-6.134992684145869,0,-2.8649228583668647,-1.2167050115032902
222,1382,1,0,,-0.3912029535899258,1,0.4312289293277213,-2.0601347630464972
223,1387,1,0,,-0.7828001986185942,0,0.13978668323485405,-1.5116530417421215
224,1390,1,0,,-3.906898089548257,1,-0.011598930471467542,-2.3323062460272617
225,1415,1,0,,-2.801403831949637,1,-1.2496152489139032,-0.5112664521885584
226,1427,1,0,,-1.9855872345517933,1,-0.4862851573180815,-1.7179830869182195
227,1428,1,0,,-2.810937450079332,1,-1.9829724267628772,-0.0755170002530881
228,1436,1,0,,-0.297273089744329,1,-0.5155527065524863,-0.6086067156537284
229,1444,1,0,,-3.5838124169012415,1,0.08400163960827686,-2.3048472882666213
230,1447,1,0,,-2.637345003246379,1,-1.563882125156898,-1.299681700287224
231,1449,1,0,,-7.194865522338188,1,-0.22173709454869386,-3.3245344391116185
232,1465,1,0,,-3.5329758694826063,1,-1.2709085391030048,-1.5228049200976765
233,1470,1,0,,-4.056117648387524,1,-1.8359630927251605,-0.8348272079152315
234,1478,1,0,,-0.05671838092959225,0,-1.6354911382890531,-0.21466848193220836
235,1492,1,0,,-0.18438732640813227,1,-0.26618694457909037,-1.0180554350167197
236,1502,1,0,,-0.06394754547837539,1,-0.2164364878033644,-1.0440599785899216
237,1504,1,0,,-3.118976518505135,0,-0.30050251856108007,-2.07282784449076
238,1516,1,0,,-2.305579770710796,1,0.5705410576659872,-2.522598634783774
239,1518,1,0,,-2.672484195896215,1,-1.8636998365098485,-0.30682452411112393
240,1520,1,0,,-11.294545248267555,1,-2.8891267522055153,-1.8185189380061733
241,1524,1,0,,-3.0924736014117755,1,-1.9210288288541202,-0.5275974159030107
242,1526,1,0,,-2.0687752869230427,0,-0.6466809030312644,-1.1161432785121579
243,1540,1,0,,-1.288637512679,0,-0.1222948298800359,-1.8910616574569605
244,1562,1,0,,-5.163575836920287,1,-1.574609738533056,-1.4065672497687407
245,1564,1,0,,-0.9784621392071884,0,-1.6179456948144113,-0.525122365332644
246,1574,1,0,,-8.585875011604164,1,-2.852608381012233,-1.590437584905275
247,1580,1,0,,-6.78913776673159,1,-2.3423649866262113,-1.2095326294472826
248,1589,1,0,,-2.778698207604264,1,-0.964878665229457,-0.9006328379229249
249,1591,1,0,,-3.158365688317221,1,-1.3767101014208538,-1.0854986980719166
250,1599,1,0,,-4.202666652577845,0,-2.3054207199733887,-1.0564730197959566
251,1611,1,0,,-3.4765724462339147,1,-0.5986230229938881,-1.4981455011303264
252,1617,1,0,,-1.2457473142174225,1,-1.6681283435219405,0.19743216092330582
253,1620,1,0,,-3.392581730899609,1,-0.4713741009772725,-1.872886720066636
254,1622,1,0,,-0.6473174410904721,1,-0.07884801944222354,-1.0087149335945615
255,1623,1,0,,-1.4265176072350878,1,-0.693124989290634,-1.3029055741949052
256,1628,1,0,,-0.31986813610827064,1,-2.050276820065485,0.7455992151599302
257,1648,1,0,,-2.5443829792209893,0,-1.2467580840959678,-1.4101561969304242
258,1650,1,0,,-0.9673911887721971,1,-0.4968418911593498,-1.1196049930281768
259,1664,1,0,,-2.3373980965261207,1,-2.313913097842865,0.5438416678313671
260,1667,1,0,,-0.10668179302563191,1,-0.2827280410850104,-0.9700337202400489
