name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,gender,age,race
68,1,-1.3708747916412611,0,39,74,0,0,-1.3244078276584197,0
69,1,4.524375648714236,0,9,29,0,1,0.8698461083934897,0
70,1,2.761054691079436,0,15,40,0,0,-0.7197568497348801,1
71,1,2.4086569634806225,0,24,68,0,1,-0.6700864178922111,1
72,1,-0.4568068862879744,0,33,68,0,0,-1.269146708708727,1
73,1,3.3943062920368128,0,5,40,0,1,-0.4945768585566016,0
74,1,-1.4894067665271304,0,4,61,0,0,-1.1268236793868889,1
75,1,5.258028898165657,4,15,29,0,0,1.7705256699317098,0
76,1,-0.4094988068591876,0,4,30,0,0,-0.019452993182300447,0
77,1,3.5659721499709804,0,9,36,0,0,0.7547788805021721,1
78,1,5.301244831193133,2,32,64,0,1,0.9355214156204686,1
79,1,1.2006732007102126,0,7,24,0,1,-0.5108763049181563,1
80,1,3.3038130987956755,0,12,32,0,1,-0.923845430878803,1
81,1,5.499462866250412,0,42,75,0,1,0.5669987721346833,1
82,1,5.321395701238676,0,14,36,0,1,-0.254238601507876,1
83,1,-1.1686519733207854,0,6,35,0,0,-1.917654734147897,1
84,1,5.692015844874614,0,21,37,0,1,0.30782585914200433,1
85,1,4.2932030592634085,0,9,72,0,0,1.0309136131089383,1
86,1,6.51220446106836,3,16,48,0,1,1.7219740337148146,0
87,1,4.398849609100074,0,35,83,0,1,0.7990692296396174,0
88,1,2.401763962528781,0,17,20,0,1,-0.423999917339133,1
89,1,0.11139461242787352,0,9,99,0,1,-0.8243754540647138,0
90,1,3.904018244282751,0,10,51,0,0,1.3930873446334455,0
91,1,0.9939881982021939,0,1,39,1,0,0.7118861481285568,0
92,1,1.848900519725134,0,3,79,0,0,-0.6993835597324373,1
93,1,-0.03019933040263778,0,27,76,0,0,-0.7666522733668751,1
94,1,4.659976905359745,0,6,78,0,1,0.13045239748803372,1
95,1,4.445803324056049,1,8,41,0,1,0.2977029078743821,1
96,1,0.30934428972329453,0,1,52,1,0,-0.25528400590849215,0
97,1,3.863829320567418,0,37,45,0,1,-0.07649613619978923,1
98,1,2.1034448022798404,0,6,28,0,1,-1.3584090664150508,1
99,1,-1.2501349055039008,0,7,44,0,0,-1.6391400855343223,0
100,1,1.363166485315169,0,6,30,0,1,-0.7292358787904228,0
101,1,-1.73762813438336,0,5,26,0,0,-1.183714508157485,0
102,1,-1.302866864392676,0,22,41,0,0,-1.348316062811047,1
103,1,4.312803489487196,1,14,44,0,1,0.3627256740933272,0
104,1,2.766754025192999,0,6,19,0,1,-0.3974343581990791,0
105,1,2.8277259587114574,0,9,30,0,1,0.3466486346570664,0
106,1,9.154529132160391,2,32,75,0,1,1.912650112975902,1
107,1,4.795019033975752,3,16,33,0,1,0.5142749757827183,1
108,1,4.07326840037136,0,9,31,0,1,-0.30055058378418936,0
109,1,-2.406509056904847,0,1,29,1,0,-1.471419078270503,1
110,1,2.7211858396295003,2,22,45,0,1,-0.29221999913485125,0
111,1,3.656056643687344,0,14,47,0,1,0.7326438756213653,0
112,1,3.925065810267269,0,12,20,0,1,0.005296068839331074,1
113,1,4.661897907427256,0,8,24,0,0,1.7730871136004176,1
114,1,2.006758206399552,0,3,29,0,0,0.27668217211279017,0
115,1,2.824409104109805,0,10,21,0,1,-0.09365815792958862,1
116,1,0.579794881693739,0,2,63,0,0,-0.21977998039994404,0
117,1,1.8848591891187638,0,2,32,0,0,0.1712955953450423,0
118,1,9.04602741181164,3,18,43,0,1,2.5862725552171475,0
119,1,1.012804264347896,0,17,50,0,0,-1.0545573662000827,1
120,1,6.6604251071955165,3,9,21,0,1,1.0586907077646224,1
121,1,-1.1625294312269383,0,9,46,0,0,-1.2884393680598212,1
122,1,5.068035607141416,1,24,59,0,1,0.15314085592834176,1
123,1,3.7650666409812734,0,6,19,0,1,0.49835911169784497,1
124,1,2.4795528068155894,0,13,34,0,1,-0.12747937619383773,0
125,1,2.6177094279625384,0,26,37,0,1,-0.29022613776860906,0
