,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2
1394,9187,1,0,,-0.41538510669165696,1,-0.009478606261978554,-1.1693796401351078
1395,9201,1,0,,-0.34066372090400454,1,-0.6118732252836186,-0.6747323271580979
1396,9212,1,0,,-0.8109620694250465,1,-1.7878637199118133,-0.13923102767918424
1397,9213,1,0,,-3.845546347492697,0,0.2968010052473766,-2.3747690747453487
1398,9219,1,0,,-3.5693163874655225,0,-1.7779049121205925,-0.6750417773897688
1399,9220,1,0,,-1.9146305371894636,1,-1.3715629597538037,-0.545727575097746
1400,9229,1,0,,-2.727618636216829,1,0.02020238974173493,-1.9390067630403067
1401,9241,1,0,,-2.0674325770442694,0,-0.9164567769198706,-1.509762183059582
1402,9246,1,0,,-0.24227098059786126,1,-0.5552749700468702,-0.7784391995174514
1403,9247,1,0,,-3.5042979184834238,1,-0.6097545627386514,-1.551059810279686
1404,9252,1,0,,-2.1527421900772423,0,-1.694110703325553,-1.0053135502956645
1405,9258,1,0,,-4.5979282484847745,1,-1.6143073843323745,-0.6174844848863353
1406,9269,1,0,,-0.8228033095301117,0,-1.056745287608387,-0.46800830837612717
1407,9279,1,0,,-0.05424930694766328,1,-0.8091140525365276,-0.9921975566825791
1408,9280,1,0,,-0.06655068930255298,0,-0.447646016410011,-1.1284978655178162
1409,9283,1,0,,-0.5088610848620279,1,-0.7799187407632681,-0.35562303090851066
1410,9288,1,0,,-0.008635046593673756,1,-1.523288210700443,-0.013239819378994119
1411,9298,1,0,,-1.7051001591860726,1,-1.1263172654401084,-1.074660500036787
1412,9306,1,0,,-1.7897795016255862,1,-0.7893570339830256,-1.2596572888266593
1413,9320,1,0,,-1.5580365060193238,0,-0.533276562589225,-2.053979403193957
1414,9324,1,0,,-3.1863544724896946,1,-0.43351163317463887,-1.8674687804273533
1415,9329,1,0,,-2.5611071074229113,1,-2.139635993921663,0.3978431218631063
1416,9343,1,0,,-1.1413672190337072,0,-1.1678713320779253,-0.717664896501399
1417,9352,1,0,,-0.21673774981236704,1,-0.425305626198701,-0.60656144752077
1418,9365,1,0,,-0.9826194777798912,1,-0.5121727754394385,-0.9777743787633826
1419,9384,1,0,,-0.08875622585277787,0,-1.1178212954648974,-0.4068159516621383
1420,9388,1,0,,-0.6213163060322037,1,-0.3423878060959612,-1.3582702786432652
1421,9394,1,0,,-3.499701412446202,1,-1.8390318712471,-0.6276524194100119
1422,9399,1,0,,-1.9295694409283044,0,-1.515069441735317,-0.8779343295736807
1423,9402,1,0,,-1.567370117206196,0,-1.4672982396562708,-0.7332016109033601
1424,9405,1,0,,-2.537430824137061,0,-1.0337647259135074,-1.2438041355647995
1425,9416,1,0,,-3.0025318035005815,1,-2.936298163261494,0.9559463128715826
1426,9418,1,0,,-3.149701800921795,1,-0.19083971220235602,-1.5296014796264834
1427,9427,1,0,,-2.2582742786128835,0,-1.8083561593962145,-0.7291895403355547
1428,9429,1,0,,-0.19371343526511864,0,-0.6376235179952042,-0.4028876535731661
1429,9430,1,0,,-0.06648040742951933,1,0.24836392325901743,-1.9706147004814019
1430,9451,1,0,,-1.576595313417702,0,-1.7051008124240687,-0.7607882900285821
